City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,1095000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,8478000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,585000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2550000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1495000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1300000.0,2.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2095000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,595500.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,819800.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,755000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,918000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2488888.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1199000.0,5.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,448800.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,788000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,697000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,709000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1850000.0,5.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1549000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,569000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1039000.0,3.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1799000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
