City,Price,Address,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,515000.0,#2423 -165 LEGION RD N,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499000.0,52 CANNON RD,3,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1599000.0,34 QUEENS DR,5,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,729000.0,#614 -2212 LAKE SHORE BLVD W,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1390000.0,278 BETA ST W,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,558900.0,#2110 -20 THOMAS RILEY RD W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,#517 -9 MABELLE AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1799000.0,98 DIXON AVE,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,579900.0,#46 -140 BROADVIEW AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1089000.0,87 ROSEHEATH AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899000.0,156 HANSON ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,865000.0,36 LILY CUP AVE,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899900.0,222 FIRST AVE,4,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599900.0,#1320 -320 RICHMOND ST E,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2495000.0,6 CHUDLEIGH AVE,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799900.0,#522 -954 KING ST W,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799000.0,#1103 -80 WESTERN BATTERY RD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,549000.0,#716 -170 BAYVIEW AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1549000.0,125 SEATON ST,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1190000.0,15 SWEENEY DR,4,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749900.0,#1610 -25 THE ESPLANADE,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,625000.0,#2807 -21 HILLCREST AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2799000.0,#4205 -180 UNIVERSITY AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,809000.0,#1209 -1928 LAKESHORE BLVD W,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,779000.0,#1803 -5 KENNETH AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2750000.0,#507 -29 QUEENS QUAY E,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799000.0,#2214 -24 WELLESLEY ST W,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,679000.0,#1112 -17 BATHURST ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,5899000.0,77 FOREST HILL RD,5,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1200000.0,66 ST NICHOLAS ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3999000.0,25 NANTON AVE,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,849900.0,#117 -65 EAST LIBERTY ST,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,649000.0,#1006 -1103 LESLIE ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3500000.0,1 CRESCENTWOOD RD,6,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749000.0,796 KINGSTON RD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2665000.0,8 FIRST AVE,6,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,915000.0,#3204 -15 MERCER ST,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,729888.0,#2508 -381 FRONT ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,819900.0,#2806 -103 THE QUEENSWAY,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,739000.0,#2503 -155 LEGION RD N,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3288000.0,118 MARTIN GROVE RD,6,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,850000.0,#1909 -11 WELLESLEY ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2028900.0,#PH3 -1221 KING ST,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899888.0,59 ODOARDO DI SANTO CIRC,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1250000.0,471 VAUGHAN RD E,5,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,#1101 -115 BLUE JAYS WAY,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,836000.0,#706 -3000 BATHURST ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499000.0,25 SPRUCE ST,6,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799888.0,#1631 -33 HARBOUR SQ,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,850900.0,#1016 -1221 KING ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
